number,street,city,state,postcode,latitude,longitude
123,Main St,San Francisco,CA,94102,37.7749,-122.4194
456,Oak Ave,San Francisco,CA,94103,37.7739,-122.4194
789,Pine St,Los Angeles,CA,90001,34.0522,-118.2437
101,Elm Dr,Los Angeles,CA,90002,34.0522,-118.2437
202,Market St,San Francisco,CA,94102,37.7749,-122.4194
303,Broadway,New York,NY,10001,40.7128,-74.0060
404,Park Ave,New York,NY,10002,40.7128,-74.0060
505,5th Ave,New York,NY,10003,40.7128,-74.0060
606,Sunset Blvd,Los Angeles,CA,90001,34.0522,-118.2437
707,Beach St,Miami,FL,33101,25.7617,-80.1918
