address,reason
"1200 Frank Rd, Columbus, OH 43223",Commercial: Commercial land for sale
"1000 Greenlawn Ave, Columbus, OH 43223",Public: Green Lawn Cemetery
"1000 Harrisburg Pike, Columbus, OH 43223",Commercial: Industrial property
"1000 Harrisburg Pike, Columbus, OH 43223",Commercial: Industrial property
"1100 Frank Rd, Columbus, OH 43223",Commercial: Commercial land for sale
"1100 Harrisburg Pike, Columbus, OH 43223",Nonprofit: Cystic Fibrosis Foundation
"1000 Greenlawn Ave, Columbus, OH 43223",Public: Green Lawn Cemetery
"1000 Greenlawn Ave, Columbus, OH 43223",Public: Green Lawn Cemetery
"1300 Harrisburg Pike, Columbus, OH 43223",Commercial property
"1000 Frank Rd, Columbus, OH 43223",Commercial: Industrial warehouse and trucking cross-dock terminal
"1000 Frank Rd, Columbus, OH 43223",Commercial: Industrial warehouse and trucking cross-dock terminal
"1200 Sullivant Ave, Columbus, OH 43223",Commercial: Former automotive repair shop
"1000 W Mound St, Columbus, OH 43223",Commercial: Buckeye Tire Co.
"1000 Frank Rd, Columbus, OH 43223",Commercial: Industrial warehouse and trucking cross-dock terminal
"97 I-70 W Overpass W Broad St, Columbus, OH 43223",Infrastructure: I-70 highway overpass marker
"97 I-70 W Overpass Sullivant Ave, Columbus, OH 43223",Infrastructure: I-70 highway overpass marker
"98 I-70 W Overpass S Glenwood Ave, Columbus, OH 43223",Infrastructure: I-70 highway overpass marker
"97 I-70 W, Columbus, OH 43223",Infrastructure: I-70 highway marker
"98 I-70 E Overpass S Central Ave, Columbus, OH 43223",Infrastructure: I-70 highway overpass marker
"98 I-70 E, Columbus, OH 43223",Infrastructure: I-70 highway marker
"98 I-70 E Overpass S Cypress Ave, Columbus, OH 43223",Infrastructure: I-70 highway overpass marker
"97 I-70 E, Columbus, OH 43223",Infrastructure: I-70 highway marker
"97 I-70 W Overpass W Town St, Columbus, OH 43223",Infrastructure: I-70 highway overpass marker
"98 I-70 E Overpass S Souder Ave, Columbus, OH 43223",Infrastructure: I-70 highway overpass marker
"97 I-70 E Overpass W Town St, Columbus, OH 43223",Infrastructure: I-70 highway overpass marker
"99 I-70 W, Columbus, OH 43223",Infrastructure: I-70 highway marker
"97 I-70 E Overpass Sullivant Ave, Columbus, OH 43223",Infrastructure: I-70 highway overpass marker
"97 I-70 E Overpass W Broad St, Columbus, OH 43223",Infrastructure: I-70 highway overpass marker
"98 I-70 W Overpass S Central Ave, Columbus, OH 43223",Infrastructure: I-70 highway overpass marker
"99 I-70 E, Columbus, OH 43223",Infrastructure: I-70 highway marker
"98 I-70 E Overpass S Glenwood Ave, Columbus, OH 43223",Infrastructure: I-70 highway overpass marker
"98 I-70 W Overpass S Souder Ave, Columbus, OH 43223",Infrastructure: I-70 highway overpass marker
"98 I-70 W Overpass S Cypress Ave, Columbus, OH 43223",Infrastructure: I-70 highway overpass marker
"98 I-70 W, Columbus, OH 43223",Infrastructure: I-70 highway marker
"1953 Zettler Center Dr, Columbus, OH 43223",Commercial/Industrial: Zettler Center Drive commercial zone
"1973 Zettler Center Dr, Columbus, OH 43223",Commercial/Industrial: Zettler Center Drive commercial zone
"2017 Zettler Center Dr, Columbus, OH 43223",Commercial/Industrial: Zettler Center Drive commercial zone
"1957 Zettler Center Dr, Columbus, OH 43223",Commercial/Industrial: Zettler Center Drive commercial zone
"1985 Zettler Center Dr, Columbus, OH 43223",Commercial/Industrial: Zettler Center Drive commercial zone
"1965 Zettler Center Dr, Columbus, OH 43223",Commercial/Industrial: Zettler Center Drive commercial zone
"1993 Zettler Center Dr, Columbus, OH 43223",Commercial/Industrial: Zettler Center Drive commercial zone
